x, y, vx, vy
-51.0838, 67.3892, -6.05538, -6.05538
-51.114, 67.4296, -6.05542, -6.05542
-51.1443, 67.4701, -6.05546, -6.05546
-51.1746, 67.5105, -6.0555, -6.0555
-51.2049, 67.5509, -6.05554, -6.05554
-51.2351, 67.5913, -6.05559, -6.05559
-51.2654, 67.6317, -6.05563, -6.05563
-51.2957, 67.6721, -6.05567, -6.05567
-51.326, 67.7126, -6.05571, -6.05571
-51.3563, 67.753, -6.05575, -6.05575
-51.3865, 67.7934, -6.0558, -6.0558
-51.4168, 67.8338, -6.05584, -6.05584
-51.4471, 67.8743, -6.05588, -6.05588
-51.4774, 67.9147, -6.05592, -6.05592
-51.5077, 67.9551, -6.05596, -6.05596
-51.5379, 67.9955, -6.056, -6.056
-51.5682, 68.0359, -6.05605, -6.05605
-51.5985, 68.0764, -6.05609, -6.05609
-51.6288, 68.1168, -6.05613, -6.05613
-51.6591, 68.1572, -6.05617, -6.05617
-51.6893, 68.1976, -6.05621, -6.05621
-51.7196, 68.238, -6.05625, -6.05625
-51.7499, 68.2785, -6.05629, -6.05629
-51.7802, 68.3189, -6.05633, -6.05633
-51.8105, 68.3593, -6.05638, -6.05638
-51.8407, 68.3997, -6.05642, -6.05642
-51.871, 68.4401, -6.05646, -6.05646
-51.9013, 68.4806, -6.0565, -6.0565
-51.9316, 68.521, -6.05654, -6.05654
-51.9619, 68.5614, -6.05658, -6.05658
-51.9921, 68.6018, -6.05662, -6.05662
-52.0224, 68.6422, -6.05666, -6.05666
-52.0527, 68.6827, -6.0567, -6.0567
-52.083, 68.7231, -6.05674, -6.05674
-52.1133, 68.7635, -6.05678, -6.05678
-52.1436, 68.8039, -6.05682, -6.05682
-52.1739, 68.8444, -6.05686, -6.05686
-52.2041, 68.8848, -6.0569, -6.0569
-52.2344, 68.9252, -6.05695, -6.05695
-52.2647, 68.9657, -6.05699, -6.05699
-52.295, 69.0061, -6.05703, -6.05703
-52.3253, 69.0465, -6.05707, -6.05707
-52.3556, 69.0869, -6.05711, -6.05711
-52.3859, 69.1274, -6.05715, -6.05715
-52.4161, 69.1678, -6.05719, -6.05719
-52.4464, 69.2082, -6.05723, -6.05723
-52.4767, 69.2487, -6.05727, -6.05727
-52.507, 69.2891, -6.05731, -6.05731
-52.5373, 69.3295, -6.05735, -6.05735
-52.5676, 69.3699, -6.05739, -6.05739
-52.5979, 69.4104, -6.05743, -6.05743
-52.6281, 69.4508, -6.05747, -6.05747
-52.6584, 69.4912, -6.05751, -6.05751
-52.6887, 69.5317, -6.05755, -6.05755
-52.719, 69.5721, -6.05759, -6.05759
-52.7493, 69.6125, -6.05763, -6.05763
-52.7796, 69.6529, -6.05766, -6.05766
-52.8099, 69.6934, -6.0577, -6.0577
-52.8402, 69.7338, -6.05774, -6.05774
-52.8704, 69.7742, -6.05778, -6.05778
-52.9007, 69.8147, -6.05782, -6.05782
-52.931, 69.8551, -6.05786, -6.05786
-52.9613, 69.8955, -6.0579, -6.0579
-52.9916, 69.936, -6.05794, -6.05794
-53.0219, 69.9764, -6.05798, -6.05798
-53.0522, 70.0168, -6.05802, -6.05802
-53.0825, 70.0573, -6.05806, -6.05806
-53.1128, 70.0977, -6.0581, -6.0581
-53.143, 70.1381, -6.05814, -6.05814
-53.1733, 70.1786, -6.05818, -6.05818
-53.2036, 70.219, -6.05821, -6.05821
-53.2339, 70.2594, -6.05825, -6.05825
-53.2642, 70.2999, -6.05829, -6.05829
-53.2945, 70.3403, -6.05833, -6.05833
-53.3248, 70.3807, -6.05837, -6.05837
-53.3551, 70.4212, -6.05841, -6.05841
-53.3854, 70.4616, -6.05845, -6.05845
-53.4157, 70.5021, -6.05849, -6.05849
-53.446, 70.5425, -6.05852, -6.05852
-53.4763, 70.5829, -6.05856, -6.05856
-53.5066, 70.6234, -6.0586, -6.0586
-53.5368, 70.6638, -6.05864, -6.05864
-53.5671, 70.7042, -6.05868, -6.05868
-53.5974, 70.7447, -6.05872, -6.05872
-53.6277, 70.7851, -6.05875, -6.05875
-53.658, 70.8255, -6.05879, -6.05879
-53.6883, 70.866, -6.05883, -6.05883
-53.7186, 70.9064, -6.05887, -6.05887
-53.7489, 70.9468, -6.05891, -6.05891
-53.7792, 70.9873, -6.05895, -6.05895
-53.8095, 71.0277, -6.05898, -6.05898
-53.8398, 71.0682, -6.05902, -6.05902
-53.8701, 71.1086, -6.05906, -6.05906
-53.9004, 71.149, -6.0591, -6.0591
-53.9307, 71.1895, -6.05914, -6.05914
-53.961, 71.2299, -6.05917, -6.05917
-53.9913, 71.2704, -6.05921, -6.05921
-54.0216, 71.3108, -6.05925, -6.05925
-54.0519, 71.3513, -6.05929, -6.05929
-54.0822, 71.3917, -6.05932, -6.05932
-54.1125, 71.4321, -6.05936, -6.05936
-54.1427, 71.4726, -6.0594, -6.0594
-54.173, 71.513, -6.05944, -6.05944
-54.2033, 71.5535, -6.05947, -6.05947
-54.2336, 71.5939, -6.05951, -6.05951
-54.2639, 71.6344, -6.05955, -6.05955
-54.2942, 71.6748, -6.05959, -6.05959
-54.3245, 71.7152, -6.05962, -6.05962
-54.3548, 71.7557, -6.05966, -6.05966
-54.3851, 71.7961, -6.0597, -6.0597
-54.4154, 71.8366, -6.05974, -6.05974
-54.4457, 71.877, -6.05977, -6.05977
-54.476, 71.9175, -6.05981, -6.05981
-54.5063, 71.9579, -6.05985, -6.05985
-54.5366, 71.9984, -6.05988, -6.05988
-54.5669, 72.0388, -6.05992, -6.05992
-54.5972, 72.0792, -6.05996, -6.05996
-54.6275, 72.1197, -6.06, -6.06
-54.6578, 72.1601, -6.06003, -6.06003
-54.6881, 72.2006, -6.06007, -6.06007
-54.7184, 72.241, -6.06011, -6.06011
-54.7487, 72.2815, -6.06014, -6.06014
-54.779, 72.3219, -6.06018, -6.06018
-54.8093, 72.3624, -6.06022, -6.06022
-54.8396, 72.4028, -6.06025, -6.06025
-54.8699, 72.4433, -6.06029, -6.06029
-54.9002, 72.4837, -6.06033, -6.06033
-54.9305, 72.5242, -6.06036, -6.06036
-54.9608, 72.5646, -6.0604, -6.0604
-54.9911, 72.6051, -6.06044, -6.06044
-55.0214, 72.6455, -6.06047, -6.06047
-55.0517, 72.686, -6.06051, -6.06051
-55.082, 72.7264, -6.06054, -6.06054
-55.1123, 72.7669, -6.06058, -6.06058
-55.1426, 72.8073, -6.06062, -6.06062
-55.173, 72.8478, -6.06065, -6.06065
-55.2033, 72.8882, -6.06069, -6.06069
