x, y, vx, vy
109.126, 84.7688, 8.05954, 8.05954
109.166, 84.7988, 8.05956, 8.05956
109.207, 84.8287, 8.05958, 8.05958
109.247, 84.8586, 8.0596, 8.0596
109.287, 84.8886, 8.05962, 8.05962
109.328, 84.9185, 8.05964, 8.05964
109.368, 84.9484, 8.05966, 8.05966
109.408, 84.9784, 8.05968, 8.05968
109.448, 85.0083, 8.0597, 8.0597
109.489, 85.0383, 8.05973, 8.05973
109.529, 85.0682, 8.05975, 8.05975
109.569, 85.0981, 8.05977, 8.05977
109.61, 85.1281, 8.05979, 8.05979
109.65, 85.158, 8.05981, 8.05981
109.69, 85.1879, 8.05983, 8.05983
109.731, 85.2179, 8.05985, 8.05985
109.771, 85.2478, 8.05987, 8.05987
109.811, 85.2778, 8.05989, 8.05989
109.851, 85.3077, 8.05991, 8.05991
109.892, 85.3376, 8.05993, 8.05993
109.932, 85.3676, 8.05995, 8.05995
109.972, 85.3975, 8.05997, 8.05997
110.013, 85.4274, 8.05999, 8.05999
110.053, 85.4574, 8.06001, 8.06001
110.093, 85.4873, 8.06003, 8.06003
110.134, 85.5173, 8.06005, 8.06005
110.174, 85.5472, 8.06007, 8.06007
110.214, 85.5771, 8.06009, 8.06009
110.254, 85.6071, 8.06011, 8.06011
110.295, 85.637, 8.06013, 8.06013
110.335, 85.6669, 8.06015, 8.06015
110.375, 85.6969, 8.06017, 8.06017
110.416, 85.7268, 8.06019, 8.06019
110.456, 85.7568, 8.06021, 8.06021
110.496, 85.7867, 8.06023, 8.06023
110.537, 85.8166, 8.06025, 8.06025
110.577, 85.8466, 8.06027, 8.06027
110.617, 85.8765, 8.06029, 8.06029
110.657, 85.9064, 8.06031, 8.06031
110.698, 85.9364, 8.06033, 8.06033
110.738, 85.9663, 8.06035, 8.06035
110.778, 85.9963, 8.06037, 8.06037
110.819, 86.0262, 8.06039, 8.06039
110.859, 86.0561, 8.06041, 8.06041
110.899, 86.0861, 8.06043, 8.06043
110.939, 86.116, 8.06045, 8.06045
110.98, 86.146, 8.06047, 8.06047
111.02, 86.1759, 8.06049, 8.06049
111.06, 86.2058, 8.06051, 8.06051
111.101, 86.2358, 8.06053, 8.06053
111.141, 86.2657, 8.06055, 8.06055
111.181, 86.2956, 8.06057, 8.06057
111.222, 86.3256, 8.06059, 8.06059
111.262, 86.3555, 8.06061, 8.06061
111.302, 86.3855, 8.06063, 8.06063
111.343, 86.4154, 8.06065, 8.06065
111.383, 86.4454, 8.06067, 8.06067
111.423, 86.4753, 8.06069, 8.06069
111.463, 86.5053, 8.06071, 8.06071
111.504, 86.5352, 8.06073, 8.06073
111.544, 86.5652, 8.06075, 8.06075
111.584, 86.5951, 8.06077, 8.06077
111.625, 86.625, 8.06079, 8.06079
111.665, 86.655, 8.06081, 8.06081
111.705, 86.6849, 8.06083, 8.06083
111.746, 86.7149, 8.06085, 8.06085
111.786, 86.7448, 8.06087, 8.06087
111.826, 86.7748, 8.06089, 8.06089
111.867, 86.8047, 8.06091, 8.06091
111.907, 86.8347, 8.06093, 8.06093
